"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","Bill_pca1","Bill_pca2","sumpay","default.payment.next.month"
"1",20000,2,2,1,24,0,689,0,0,0,0,-1.61422785726797,0.00753248429383564,-2,1
"2",120000,2,2,2,26,0,1000,1000,1000,0,2000,-1.54873126292428,-0.0704229614032367,3,1
"3",90000,2,2,2,34,1518,1500,1000,1000,1000,5000,-1.02252148424789,0.0120903947788114,0,0
"4",50000,2,2,1,37,2000,2019,1200,1100,1069,1000,-0.215521439795169,0.179938724637598,0,0
"5",50000,1,2,1,57,2000,36681,10000,9000,689,679,-0.952860942379838,-0.236734540429299,-2,0
"6",50000,1,1,2,37,2500,1815,657,1000,1000,800,-0.204961672271756,0.56803438468527,0,0
"7",5e+05,1,1,2,29,55000,40000,38000,20239,13750,13770,15.8027236497412,-2.95942304363201,0,0
"8",1e+05,2,2,2,23,380,601,0,581,1687,1542,-1.58191894663692,0.0464171787363483,-3,0
"9",140000,2,3,1,28,3329,0,432,1000,1000,1000,-1.24884166020606,0.00172336812885569,2,0
"10",20000,1,3,2,35,0,0,0,13007,1122,0,-1.47305809458385,-0.25413298616678,-10,0
"11",2e+05,2,3,2,34,2306,12,50,300,3738,66,-1.44988360879041,0.0628694297696294,1,0
"12",260000,2,1,2,51,21818,9966,8583,22301,0,3640,-1.09566440683598,-0.0913824985478556,-3,0
"13",630000,2,2,2,41,1000,6500,6500,6500,2870,0,-1.40409086453578,0.0118543557583284,-5,0
"14",70000,1,2,2,30,3200,0,3000,3000,1500,0,0.461814255338868,0.233113391642977,7,1
"15",250000,1,1,2,29,3000,3000,3000,3000,3000,3000,0.699263028017666,-0.0132981351281552,0,0
"16",50000,2,3,3,23,0,1500,1100,1200,1300,1100,-0.425626171747193,0.0270411480696718,3,0
"17",20000,1,1,2,24,3200,0,1500,0,1650,0,-0.981231762053149,-0.12580517159872,8,1
"18",320000,1,1,1,49,10358,10000,75940,20000,195599,50000,4.25823784819618,1.96956866432219,-3,0
"19",360000,2,1,1,49,0,0,0,0,0,0,-1.65865900584623,-0.0442195292205755,-9,0
"20",180000,2,1,2,29,0,0,0,0,0,0,-1.65865900584623,-0.0442195292205755,-9,0
"21",130000,2,3,2,39,3000,1537,1000,2000,930,33764,-0.903783365043929,0.318458634778284,-1,0
"22",120000,2,2,1,39,316,316,0,632,316,0,-1.64654024964484,-0.0461926906925369,-6,1
"23",70000,2,2,2,26,2007,3582,0,3601,0,1820,0.0339350939883752,-0.235087214287944,8,1
"24",450000,2,1,1,40,19428,1473,560,0,0,1128,-1.50051848032946,0.125583651989929,-12,1
"25",90000,1,1,2,23,5757,0,5398,1200,2045,2000,-1.45316554846671,-0.0964665950324076,-1,0
"26",50000,1,3,2,23,1973,1426,1001,1432,1062,997,-0.31724798375501,0.101766567887123,0,0
"27",60000,1,1,2,27,0,1000,0,500,0,1000,-1.66098680180326,-0.0463459868119849,-5,1
"28",50000,2,3,2,30,1300,1300,1000,1500,1000,1012,-0.946194147705251,-0.0933553276113909,0,0
"29",50000,2,3,1,47,3415,3421,2044,30430,257,0,-1.38741304397629,-0.233508199292028,-6,0
"30",50000,1,1,2,26,1500,1500,1000,1000,1600,0,-1.04198761271735,-0.0715978183092577,0,0
"31",230000,2,1,2,27,17270,13281,15339,14307,37292,0,-0.926942886809193,-0.245242139010422,-6,0
"32",50000,1,2,2,33,1718,1500,1000,1000,1000,716,-0.701579087812182,-0.0159164624643064,2,1
"33",1e+05,1,1,2,32,3023,3511,3302,3204,3200,2504,1.47386627824978,-0.0916112637016303,0,0
"34",5e+05,2,2,1,54,4152,22827,7521,71439,981,51582,-0.826146206752708,-0.490806907088266,-12,0
"35",5e+05,1,1,1,58,5006,31178,3180,0,5293,768,-1.30406420571806,0.104340480295075,-12,0
"36",160000,1,1,2,30,131,396,396,565,792,0,-1.52249770585369,0.216459496911516,-9,0
"37",280000,1,2,1,40,8026,8060,6300,6400,6400,6737,5.12765819001029,-0.388215631995353,0,0
"38",60000,2,2,2,22,1500,1518,2043,0,47671,617,-1.47686940714218,0.178394601828091,-1,0
"39",50000,1,1,2,25,780,0,0,0,0,0,-1.65406134037133,-0.0391491758770658,-7,1
"40",280000,1,1,2,31,9075,0,9976,8000,9525,781,-1.31726052563326,-0.214454282493933,-2,0
"41",360000,1,1,2,33,10000,7000,6000,188840,28000,4000,8.95050649767457,-1.64158602137474,0,0
"42",70000,2,1,2,25,3000,4500,4042,2500,2800,2500,0.83541462165725,-0.197311421098945,0,0
"43",10000,1,2,2,22,1500,2927,1000,300,1000,500,-1.51261557502051,-0.0727122169632121,0,0
"44",140000,2,2,1,37,3000,3000,3000,4000,4000,3000,0.798616521625321,-0.347957066603607,0,0
"45",40000,2,1,2,30,3000,5000,0,2000,3000,0,-0.714039450039295,-0.230867518697479,2,0
"46",210000,1,1,2,29,0,0,0,0,0,0,-1.65865900584623,-0.0442195292205755,-12,1
"47",20000,2,1,2,22,3000,0,16741,334,0,0,-1.16066689028703,0.0286943435574927,1,1
"48",150000,2,5,2,46,1013,1170,0,0,0,0,-1.60073970598582,0.00815273736378947,-3,1
"49",380000,1,2,2,32,21540,15138,24677,11851,11875,8251,-0.934764051265426,0.00123963690132913,-6,0
"50",20000,1,1,2,24,1318,1315,704,928,912,1069,-0.919624444632271,-0.134194380954856,0,0
"51",70000,1,3,2,42,0,3100,2000,0,1500,1500,-0.200109349497412,-0.190237579204532,9,1
"52",1e+05,2,3,3,43,2000,1606,1500,2000,1500,1000,-0.00148854302190526,0.179215271839205,0,0
"53",310000,2,2,1,49,7875,7600,11185,3544,464,0,-1.38737519560654,0.0577691929402582,-12,0
"54",180000,2,1,2,25,1300,2010,1762,1762,1790,1622,-0.0076155521122554,-0.216923234587362,3,0
"55",150000,2,1,2,29,1600,1718,1049,1500,2000,5000,-0.5633519038427,0.222377250359659,2,0
"56",5e+05,2,1,1,45,3640,162,0,151,2530,0,-1.60714418031366,-0.0281308144088158,-12,0
"57",180000,2,3,1,34,8500,1500,7500,679,9000,2000,-1.32173484958755,0.111032031294127,-3,0
"58",180000,2,2,1,34,8083,7296,5253,4814,4816,3800,4.34501586448623,0.165416350386286,0,0
"59",2e+05,2,1,2,34,0,0,700,0,1200,0,-1.6161211639623,-0.0443338443678224,10,0
"60",4e+05,2,2,1,29,17000,15029,30000,12000,12000,23000,12.8000185590552,-0.405639544628376,0,0
"61",5e+05,2,3,1,28,1516,1300,1000,1000,2000,2000,-0.972669026700465,0.0423723448367663,0,1
"62",70000,1,2,1,39,4025,2095,1000,2000,3000,0,-0.194457432411177,0.953706104045958,-1,0
"63",50000,1,1,2,29,0,2700,0,2225,1200,0,-0.653101323484436,-0.164953550947815,12,1
"64",50000,2,2,1,46,1000,0,0,0,0,0,-1.32581076595781,0.366317464851159,-6,1
