"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","Bill_pca1","Bill_pca2","sumpay","default.payment.next.month","age_new"
"1",20000,2,2,1,0,689,0,0,0,0,-1.61422785726797,0.00753248429383564,-2,1,"1"
"2",120000,2,2,2,0,1000,1000,1000,0,2000,-1.54873126292428,-0.0704229614032367,3,1,"1"
"3",90000,2,2,2,1518,1500,1000,1000,1000,5000,-1.02252148424789,0.0120903947788114,0,0,"2"
"4",50000,2,2,1,2000,2019,1200,1100,1069,1000,-0.215521439795169,0.179938724637598,0,0,"2"
"5",50000,1,2,1,2000,36681,10000,9000,689,679,-0.952860942379838,-0.236734540429299,-2,0,"3"
"6",50000,1,1,2,2500,1815,657,1000,1000,800,-0.204961672271756,0.56803438468527,0,0,"2"
"7",5e+05,1,1,2,55000,40000,38000,20239,13750,13770,15.8027236497412,-2.95942304363201,0,0,"1"
"8",1e+05,2,2,2,380,601,0,581,1687,1542,-1.58191894663692,0.0464171787363483,-3,0,"1"
"9",140000,2,3,1,3329,0,432,1000,1000,1000,-1.24884166020606,0.00172336812885569,2,0,"1"
"10",20000,1,3,2,0,0,0,13007,1122,0,-1.47305809458385,-0.25413298616678,-10,0,"2"
"11",2e+05,2,3,2,2306,12,50,300,3738,66,-1.44988360879041,0.0628694297696294,1,0,"2"
"12",260000,2,1,2,21818,9966,8583,22301,0,3640,-1.09566440683598,-0.0913824985478556,-3,0,"3"
"13",630000,2,2,2,1000,6500,6500,6500,2870,0,-1.40409086453578,0.0118543557583284,-5,0,"2"
"14",70000,1,2,2,3200,0,3000,3000,1500,0,0.461814255338868,0.233113391642977,7,1,"1"
"15",250000,1,1,2,3000,3000,3000,3000,3000,3000,0.699263028017666,-0.0132981351281552,0,0,"1"
"16",50000,2,3,3,0,1500,1100,1200,1300,1100,-0.425626171747193,0.0270411480696718,3,0,"1"
"17",20000,1,1,2,3200,0,1500,0,1650,0,-0.981231762053149,-0.12580517159872,8,1,"1"
"18",320000,1,1,1,10358,10000,75940,20000,195599,50000,4.25823784819618,1.96956866432219,-3,0,"3"
"19",360000,2,1,1,0,0,0,0,0,0,-1.65865900584623,-0.0442195292205755,-9,0,"3"
